Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,5,na,na,3.372881355932204,0.0,0.3265301853961045
OSC,BDF,0.001,1e-06,5,na,na,3.440677966101694,0.0,0.30305589679569
OSC,BDF,0.001,1e-06,5,na,na,3.5084745762711864,0.0,0.2765207653559877
OSC,BDF,0.001,1e-06,5,na,na,3.5762711864406778,0.0,0.25536257810873186
OSC,BDF,0.001,1e-06,5,na,na,3.6440677966101696,0.0,0.237205791921086
OSC,BDF,0.001,1e-06,5,na,na,3.711864406779661,0.0,0.2242037065321292
OSC,BDF,0.001,1e-06,5,na,na,3.7796610169491527,0.0,0.20910888944474848
OSC,BDF,0.001,1e-06,5,na,na,3.847457627118644,0.0,0.1983917645787788
OSC,BDF,0.001,1e-06,5,na,na,3.9152542372881363,0.0,0.19024870238271127
OSC,BDF,0.001,1e-06,5,na,na,3.983050847457627,0.0,0.18145875133947367
OSC,BDF,0.001,1e-06,5,na,na,4.0508474576271185,0.0,0.1748169190941752
OSC,BDF,0.001,1e-06,5,na,na,4.118644067796612,0.0,0.16990070920742198
OSC,BDF,0.001,1e-06,5,na,na,4.186440677966102,0.0,0.16624917842945322
OSC,BDF,0.001,1e-06,5,na,na,4.254237288135593,0.0,0.1632740479048053
OSC,BDF,0.001,1e-06,5,na,na,4.322033898305085,0.0,0.16153697245333404
OSC,BDF,0.001,1e-06,5,na,na,4.389830508474576,0.0,0.1597748265899768
OSC,BDF,0.001,1e-06,5,na,na,4.457627118644068,0.0,0.15841684333041606
OSC,BDF,0.001,1e-06,5,na,na,4.525423728813559,0.0,0.15728821476825322
OSC,BDF,0.001,1e-06,5,na,na,4.59322033898305,0.0,0.15627542535707087
OSC,BDF,0.001,1e-06,5,na,na,4.6610169491525415,0.0,0.15545722949960164
OSC,BDF,0.001,1e-06,5,na,na,4.728813559322034,0.0,0.15494228201389598
OSC,BDF,0.001,1e-06,5,na,na,4.796610169491527,0.0,0.1540535060640601
OSC,BDF,0.001,1e-06,5,na,na,4.864406779661016,0.0,0.15397985158445482
OSC,BDF,0.001,1e-06,5,na,na,4.932203389830509,0.0,0.1539085680608725
OSC,BDF,0.001,1e-06,5,na,na,5.0,0.0,0.15439170161777566
OSC,BDF,0.001,1e-06,5,na,na,5.0,0.0,0.15439170161777566
OSC,BDF,0.001,1e-06,5,na,na,5.4237288135593245,0.0,0.15800885391034272
OSC,BDF,0.001,1e-06,5,na,na,5.847457627118644,0.0,0.1632662034211892
OSC,BDF,0.001,1e-06,5,na,na,6.271186440677966,0.0,0.1695712123543653
OSC,BDF,0.001,1e-06,5,na,na,6.694915254237287,0.0,0.17406928511486947
OSC,BDF,0.001,1e-06,5,na,na,7.118644067796612,0.0,0.17740390152118682
OSC,BDF,0.001,1e-06,5,na,na,7.5423728813559325,0.0,0.1818760607774748
OSC,BDF,0.001,1e-06,5,na,na,7.966101694915254,0.0,0.18813349122125647
OSC,BDF,0.001,1e-06,5,na,na,8.389830508474576,0.0,0.1913612334092216
OSC,BDF,0.001,1e-06,5,na,na,8.8135593220339,0.0,0.1944213375229028
OSC,BDF,0.001,1e-06,5,na,na,9.237288135593221,0.0,0.1964149679491297
